"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-115","H-31",25,NA,1,0.601150160499781,6.0172847426696
"H-116","H-32",25,NA,1,0.311523832863561,5.51089662530982
"H-117","H-33",25,NA,1,0.823236966525797,4.6860797818759
"H-118","H-34",25,30,0,0.695126369149445,5.43875446287087
"H-119","H-35",25,31,0,0.734522337147688,3.86852714985752
"H-12","H-4",14,NA,1,0.863234687666257,5.03554631338221
"H-120","H-37",25,NA,1,0.744571640240186,3.37893688236349
"H-121","H-41",25,NA,1,0.826671023761174,5.08139121709756
"H-122","H-6",25,NA,1,0.709694865472741,4.19200204184728
"H-123","H-9",25,NA,1,0.757619526041088,4.8077977126884
"H-124","H-1",26,NA,1,0.266772605156348,4.46937997093996
"H-125","H-11",26,NA,1,0.88413936876412,3.31652594772389
"H-126","H-12",26,NA,1,0.528578607388318,2.31956048068943
"H-127","H-14",26,NA,1,0.709572750909175,6.98597707962424
"H-128","H-15",26,NA,1,0.720005834205301,3.11876780249756
"H-129","H-16",26,NA,1,0.872613781938816,4.74868170288446
"H-13","H-1",15,24,0,0.606946428527361,5.82306573303764
"H-130","H-18",26,NA,1,0.448522946177842,6.06412217169269
"H-131","H-19",26,NA,1,0.694525333596892,7.03205771774657
"H-132","H-20",26,NA,1,0.966716477769977,5.53994517245222
"H-133","H-23",26,NA,1,0.705404071314302,3.81286842837352
"H-134","H-26",26,NA,1,0.623008252565258,4.28469662126188
"H-135","H-27",26,NA,1,0.597022841633789,5.24122980547788
"H-136","H-28",26,NA,1,0.783588863187336,4.97525473454862
"H-137","H-29",26,NA,1,0.883143143430057,3.60291537828779
"H-138","H-3",26,NA,1,0.761845149266765,4.25453941319748
"H-139","H-30",26,NA,1,0.664456487771384,4.59875300062959
"H-14","H-3",15,NA,1,0.973098965506642,5.71934634686404
"H-140","H-32",26,NA,1,0.53546212368985,4.8185088366074
"H-141","H-33",26,NA,1,0.656997345646847,5.30419888247134
"H-142","H-34",26,NA,1,0.822394267465436,4.13682682309536
"H-143","H-35",26,NA,1,0.682769284032612,5.48937098697604
"H-144","H-36",26,NA,1,0.746053694101275,5.16606342091664
